feature,importance_score
FAHFA (4:0/24:0),2.798669189586573
FAHFA (4:0/24:1),2.7661059761024056
FAHFA (5:0/24:1),2.734876185299745
FAHFA (2:0/24:1),2.724405798694423
FAHFA (3:0/24:0),2.716384518299394
FAHFA (3:0/24:1),2.714186590924121
FAHFA (2:0/24:0),2.686931736413559
"13,14-dihydro-15-keto-tetranor Prostaglandin E2",2.65522847809797
FAHFA (4:0/22:0),2.6420951055643034
Stercobilin,2.642094929118066
FAHFA (5:0/24:0),2.6260585726688905
"N,N-Dimethylaniline",2.6221118378640114
FAHFA (2:0/26:0),2.5991538501656373
FAHFA (2:0/24:2),2.526654810270152
FAHFA (6:0/24:4),2.5045756050428403
Nervonic acid,2.496860708033526
FAHFA (4:0/20:0),2.4477328460331194
Equol,2.4450770356351015
Tetranor-12(S)-HETE,2.4410819876571774
FAHFA (12:0/18:0),2.4212505793329715
FAHFA (2:0/22:0),2.4191639795203486
N-Acetylputrescine,2.4059056821029836
"15-Deoxy-Δ12,14-prostaglandin J2-2-glycerol ester",2.3718872660111217
3-hydroxy-N-(1-hydroxy-4-methylpentan-2-yl)-5-oxo-6-phenylhexanamide,2.3560850233861346
FAHFA (6:0/24:1),2.3359354894446884
methyl 4-[({[3-(methylthio)anilino]carbonyl}amino)methyl]benzoate,2.329869170618765
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one",2.323873038039285
Morphine,2.3033094057491925
"3-[2-(1,3,5-trimethyl-1H-pyrazol-4-yl)hydrazono]pentane-2,4-dione",2.29535479105145
Butylparaben,2.2950803229314314
PC(16:0/16:0),2.292982927222946
Dextromethorphan hydrobromide,2.282578453047345
FAHFA (2:0/26:2),2.2762658942620404
"1,3,7-Trimethyluric acid",2.2667595331806565
Cyclamic acid,2.2564826976927157
Styrene,2.2463631682583567
FAHFA (15:0/16:0),2.238444835657724
FAHFA (18:0/20:2),2.2366189320484846
Epicatechin,2.226581054036228
Genistein,2.2207023345687698
Vindoline,2.2122784822679664
FAHFA (2:0/16:0),2.2115607452707224
Valerophenone,2.20833202983026
