feature,avg_correlation,max_correlation,n_correlations,corr_score,is_target
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae,0.4028767982288701,0.6812484993997598,783,2.684935768206373,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|s__Lachnospiraceae bacterium,0.3726983038113204,0.5565906362545018,588,2.37722861963266,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus gnavus,0.3724621434780809,0.6020168067226891,580,2.3706287096008003,True
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium sp. YL32,0.3797350452951318,0.6277551020408163,509,2.367424239319121,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus faecium,0.3673300671619999,0.5704201680672268,518,2.296512273293694,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes megaguti,0.37386162691297586,0.5894357743097238,389,2.230513326290329,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes shahii,0.36707210072969276,0.5484273709483793,434,2.2300900302915245,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus champanellensis,0.3643849118594806,0.5896278511404562,418,2.200109062974749,False
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis,0.37627945915208183,0.5698439375750299,304,2.152435821483121,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes rhamnosivorans,0.36922337076423495,0.5577430972388956,339,2.1521829489354563,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus avium,0.3666158255209598,0.5805042016806723,346,2.1444550329404244,False
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale,0.3766183920376661,0.5937575030012004,282,2.1261791329244266,False
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium ulcerans,0.36556704609554663,0.5345978391356542,332,2.123265493364184,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia sp. N6H1-15,0.3567693182536172,0.544297719087635,380,2.1202084815819755,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella sp. Marseille-P3954,0.3548954350971158,0.5352701080432173,390,2.1182670664684506,False
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella lenta,0.365219859930943,0.6201680672268908,307,2.0927462401279358,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|g__Intestinimonas|s__Intestinimonas butyriciproducens,0.3608865768529634,0.539015606242497,324,2.0873048711669457,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus indolicus,0.3687825943098087,0.6051860744297719,283,2.0832433747383647,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp. CT06,0.35948858800486133,0.5310444177671068,323,2.0781113241104423,False
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|s__Victivallales bacterium CCUG 44730,0.3642354901144131,0.5441056422569027,294,2.0713982561850233,False
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter coli,0.36458683473389353,0.554093637454982,288,2.065904570470571,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. dk3624,0.3647142773193193,0.5676350540216085,286,2.0640939663223103,False
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella morganii,0.3608761511249018,0.6073949579831932,301,2.0607569233098957,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus petauri,0.3582318532508545,0.5428571428571428,314,2.060754757366665,False
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia equolifaciens,0.3673051038597257,0.6187274909963985,264,2.0494632432430784,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides zoogleoformans,0.35573753552053733,0.5584153661464586,316,2.0486575243439544,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella hathewayi,0.3585032139946279,0.5071308523409364,299,2.0448243490904803,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor plautii,0.3728017593592058,0.6226650660264105,238,2.0416352472266324,False
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium,0.35973368070632505,0.5395918367346938,282,2.0308573917213057,False
