feature,importance,data_type,is_target
O-7460,0.07948725897668037,Metabolome,False
Ursodeoxycholic acid,0.062294716059156055,Metabolome,False
Cer-NS (d14:1/18:0),0.059651427294730316,Metabolome,False
N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide,0.05367531541841637,Metabolome,False
L-Cystine,0.039248735292213406,Metabolome,False
SLH,0.03854642784488156,Metabolome,False
"6,7-Dihydroxycoumarin",0.03617398203879888,Metabolome,False
"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",0.033434560296071385,Metabolome,False
Thromboxane B1,0.032206272513200004,Metabolome,False
(+/-)13-HODE,0.026781371517699725,Metabolome,False
WNK,0.025485842131274132,Metabolome,False
Muramic acid,0.02245357618675015,Metabolome,False
Prostaglandin E3,0.021459295777423126,Metabolome,False
5-(acetylamino)-2-hydroxybenzoic acid,0.020829564094934742,Metabolome,False
Milbemectin A4,0.019879057044785618,Metabolome,False
NSI-189,0.019244110148157925,Metabolome,False
LysoPE 18:0,0.01802122587152213,Metabolome,False
"6-phospho-D-glucono-1,5-lactone",0.01752198950942701,Metabolome,False
1-(3-phenylpropanoyl)-4-piperidinecarboxylic acid,0.017497307121291012,Metabolome,False
VQH,0.016580979505121555,Metabolome,False
(-)-Epigallocatechin,0.015756699859781346,Metabolome,False
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus mediterraneensis,0.01545622655619389,Microbiome,False
PG (4:0/18:1),0.014603792078396797,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus indolicus,0.01126315551302444,Microbiome,False
23-Norcholic acid,0.011167501304701776,Metabolome,False
PC (18:3e/6:0),0.010835117374348259,Metabolome,False
"N2,N2,6-trimethyl-1,3,5-triazine-2,4-diamine",0.010408440014000557,Metabolome,False
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia magna,0.009865609415608876,Microbiome,False
Nicotinic acid,0.009780721152556973,Metabolome,False
MGMG (18:2),0.009307657461782018,Metabolome,False
PMK,0.008449363486909762,Metabolome,False
PC (18:0e/4:0),0.0075632821389209105,Metabolome,False
Ritalinic acid,0.0065997803267110345,Metabolome,False
3-[(benzhydrylamino)carbonyl]pyrazine-2-carboxylic acid,0.006405683528896273,Metabolome,False
DNK,0.006399894430001679,Metabolome,False
"N1-cyclohexyl-4-(4-fluorobenzyl)-1,4-diazepane-1-carbothioamide",0.00607910000162367,Metabolome,False
L-Ergothioneine,0.005682083950620989,Metabolome,False
ACar 16:5,0.005502311633695502,Metabolome,False
"N2,N2-Dimethylguanosine",0.004938838351452269,Metabolome,False
6-(Dimethylamino)purine,0.004849830774764828,Metabolome,False
1-(7-methoxy-2-oxo-2H-chromen-8-yl)-3-methyl-2-oxobutyl acetate,0.0047917106535976745,Metabolome,False
FAHFA (4:0/24:4),0.004714311377372472,Metabolome,False
13-OxoODE,0.0044541866488553095,Metabolome,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus vestibularis,0.004213780353731426,Microbiome,False
"All-Trans-13,14-Dihydroretinol",0.003807735975281965,Metabolome,False
"2,6-Di-tert-butyl-1,4-benzoquinone",0.0037934027298809074,Metabolome,False
"6-methoxy-2-phenyl-3,4-dihydro-2H-1-benzopyran-4-one",0.0037785582776588,Metabolome,False
Protectin D1,0.0035375343948291756,Metabolome,False
α-Linolenic acid,0.003345137030406952,Metabolome,False
