feature,data_type,is_target,univar_score,pvalue,fdr,rf_importance,gb_importance,mi_score,corr_score,univar_norm,rf_norm,gb_norm,mi_norm,corr_norm,final_score,target_bonus
O-7460,Metabolome,False,5.963581616350901,1.0204709447222092e-05,0.018662962983273426,0.012936439292491749,0.07948725897668037,0.23653737472280834,1.0683094003082902,0.8523243480286948,1.0,1.0,0.7618568095883038,0.39789011452663414,0.8597648372995174,
Ursodeoxycholic acid,Metabolome,False,6.893555635099078,2.4842156210657948e-05,0.018662962983273426,0.006135116375506089,0.062294716059156055,0.23103081229210387,1.014268206663486,0.9852378728076054,0.47425077618281586,0.7837069344337538,0.7441208721273779,0.3777625590429119,0.7202698294981342,
N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide,Metabolome,False,5.392562599074468,0.00010356866637093943,0.04088373104992834,0.005258990205912335,0.05367531541841637,0.23493480564174973,1.2315722061833205,0.7707133043092554,0.4065253264060559,0.6752694219102889,0.7566951383358392,0.4586970834710329,0.6272731863738275,
Milbemectin A4,Metabolome,False,6.996843805157158,1.3378465646962334e-05,0.018662962983273426,0.006970793178240484,0.019879057044785618,0.20200200598526585,1.08849589728961,1.0,0.5388494484944015,0.25009111272307993,0.6506227778621425,0.4054085427960765,0.6228648556271454,
Cer-NS (d14:1/18:0),Metabolome,False,1.2680194987583973,0.00030988836190604465,0.0444830657681495,0.012473344546415983,0.059651427294730316,0.19517037505580848,0.6077957859553819,0.181226339605147,0.964202302070513,0.7504526896849041,0.6286189632417238,0.22637256099478678,0.5624391159218903,
PC (18:3e/6:0),Metabolome,False,5.160940137542468,3.822600110765798e-05,0.02011961858299732,0.007960923225926675,0.010835117374348259,0.21216717592846757,1.1565803615669543,0.7376094141364676,0.6153875147504584,0.13631263065099553,0.6833634978051368,0.4307664917956636,0.5479734029090908,
Thromboxane B1,Metabolome,False,4.693668308943193,0.00013178036438872963,0.040966168905873644,0.007943811071070285,0.032206272513200004,0.11848158806469322,1.2958227506128022,0.6708261013589586,0.6140647276627996,0.4051752812692729,0.38161413089032165,0.48262709520178027,0.5413038977309683,
3-Acetyl-11-keto-β-boswellic acid,Metabolome,False,6.430648832353831,2.954870643330182e-05,0.018662962983273426,0.004325180932657304,1.81613214701803e-05,0.18747964762467184,1.0672567923106135,0.9190784172135378,0.3343409136676133,0.00022848091258887657,0.6038481080186738,0.3974980723742143,0.489681473203705,
"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",Metabolome,False,3.447291690355016,0.0005613307089105505,0.04791033456052752,0.005346248822881719,0.033434560296071385,0.2006649182364133,1.0454532116741155,0.49269175971190166,0.4132705068221251,0.4206279185684372,0.6463161882262587,0.389377363903388,0.47113590295706687,
"6,7-Dihydroxycoumarin",Metabolome,False,2.9718571396864544,0.00038828281105432233,0.04640485320588271,0.0031450658079178314,0.03617398203879888,0.23245947129257605,1.4589590352335478,0.42474181631875463,0.24311680647264455,0.45509157699615044,0.7487224011219601,0.5433869415089141,0.4458671162322031,
SLH,Metabolome,False,3.510235713516219,0.00014269406521995253,0.040966168905873644,0.003347969859595871,0.03854642784488156,0.15816819883953892,1.3317059314829967,0.5016878303692114,0.25880149737486247,0.48493844599912733,0.5094396582672485,0.4959917280898756,0.4382095342033793,
LysoPC 18:0,Metabolome,False,4.268359940449511,0.00014269406521995253,0.040966168905873644,0.005686728820589885,0.00017409739635358354,0.19187722021032516,1.2306288838930435,0.6100402802125183,0.43958995918532523,0.0021902553767096117,0.6180121301904976,0.4583457446042163,0.4318840189244251,
13-OxoODE,Metabolome,False,2.676796916325675,0.001501172574881536,0.06156757131786872,0.00808552165181449,0.0044541866488553095,0.23218577483079916,0.8183357360757754,0.38257128948863534,0.625019100619696,0.05603648567328331,0.7478408596175391,0.3047878261245896,0.42488837069126106,
Cannabidiolic acid,Metabolome,False,5.944054364210043,2.954870643330182e-05,0.018662962983273426,0.003364114223208549,8.930264046530046e-07,0.13250842440344868,1.0559605731554031,0.8495334787581946,0.26004947320868005,1.1234837081437126e-05,0.42679278730428016,0.39329081375411085,0.4232226583680978,
HexCer-NS (d18:2/18:0),Metabolome,False,4.392676388588869,9.550699147287185e-05,0.04088373104992834,0.004078504626272331,1.4327525987096487e-05,0.20630067747201775,1.221333555953802,0.6278078059466657,0.31527258266805125,0.00018024934022822244,0.664468252169122,0.4548837146929939,0.41235514661372585,
