feature,mi_score,data_type,is_target
Indole-3-acetaldehyde,0.31047484480794973,Metabolome,False
Verapamil hydrochloride,0.28764872648183126,Metabolome,False
D-(-)-Glutamine,0.2555542098873147,Metabolome,False
L-Leucyl-L-alanine Hydrate,0.2470931709262758,Metabolome,False
Cer-NDS (d18:0/24:0),0.2430795316886496,Metabolome,False
Pseudouridine,0.24183248716559214,Metabolome,False
6-methyl-4-(morpholinomethyl)-2H-chromen-2-one,0.2414753443084494,Metabolome,False
(+/-)11(12)-EET,0.23994309877620368,Metabolome,False
O-7460,0.23653737472280834,Metabolome,False
N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide,0.23493480564174973,Metabolome,False
Guanethidine Monosulfate,0.2329401295232345,Metabolome,False
"6,7-Dihydroxycoumarin",0.23245947129257605,Metabolome,False
13-OxoODE,0.23218577483079916,Metabolome,False
Ursodeoxycholic acid,0.23103081229210387,Metabolome,False
4-Hydroxy-3- methoxyphenylglycol sulfate,0.22627511969645986,Metabolome,False
L-Anserine,0.22249099532409988,Metabolome,False
Astaxanthin,0.2213682014513063,Metabolome,False
Prostaglandin K1,0.22122881306191822,Metabolome,False
"7-(4-methylpiperazino)pyrimido[4,5-d]pyrimidine-2,4(1H,3H)-dithione",0.21993277576588088,Metabolome,False
D-Sedoheptulose 7-phosphate,0.21902174235484728,Metabolome,False
Guanosine,0.21902174235484728,Metabolome,False
DKK,0.21820738187872202,Metabolome,False
Oxoadipic Acid,0.21698328081638585,Metabolome,False
4'-Methoxyacetophenone,0.21573602806913317,Metabolome,False
FAHFA (18:2/17:2),0.21372931256241734,Metabolome,False
PC (18:3e/6:0),0.21216717592846757,Metabolome,False
Lysope 14:0,0.21206214639525145,Metabolome,False
5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide,0.2108312661643712,Metabolome,False
Dodecanedioic acid,0.21049692979210888,Metabolome,False
Prolylglycine,0.21038480739438303,Metabolome,False
Eugenol,0.20916459949770427,Metabolome,False
Gibberellic acid,0.2091631564962615,Metabolome,False
LPE 20:5,0.2085217423548471,Metabolome,False
"2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)acetic acid",0.20707513340823835,Metabolome,False
"4-decyl-3-hydroxy-5-oxooxolane-2,3-dicarboxylic acid",0.2068550756881804,Metabolome,False
Verrucarol,0.20641446487140858,Metabolome,False
HexCer-NS (d18:2/18:0),0.20630067747201775,Metabolome,False
Cer-NDS (d17:0/12:0),0.2056405679736728,Metabolome,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola,0.20546596479906953,Microbiome,False
2-Isopropylmalate,0.20322859106169622,Metabolome,False
Milbemectin A4,0.20200200598526585,Metabolome,False
