,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Coumarin,-0.01132748835259047,0.01299373928294175,-0.006060992685210356,0.03435848107029874,0.012854714540966851,-0.022866217879388626,0.026355829188829873,0.008692817387781656,-0.007631764622815637,0.030008197914522215
"2,6-Xylidine",-0.013380163838394512,0.010966306523960655,0.014245748480882123,-0.007615221884918399,-0.01715552779279787,-0.018506901380112434,-0.012467994818948407,0.003080408759289339,0.010945408038543804,-0.04939815448432719
DL-Carnitine,-0.003480652167610224,0.02290405583196992,0.006790412136368634,0.0031523989003920502,0.01993480776345469,0.02365029743977591,0.012331671774964342,0.01256819703312728,-0.005440893016103784,-0.007646211581263642
1-Methylhistidine,0.009818557517053563,0.013384710989026249,-0.0012269816211000885,0.02998297633115857,-0.005358837992633042,-0.012594113739584623,-0.02937868752867488,0.007428137438769138,0.01778502820916785,-0.01318385411650057
"N,N-Dimethylaniline",0.05557083725378935,-0.0006716960513529537,-0.04027084839909339,-0.029601281702562977,-0.05269623387021652,0.024670921667927774,-0.014783412676155162,0.026457419953124943,-0.0033082829333693268,-0.007288061997052858
D-(+)-Pipecolinic acid,-0.0023735537929083003,0.009497137576832942,-0.011117345886047325,0.028429266426154374,0.026947941255835623,-0.019588421891288347,0.010180780203919097,0.0355577706315405,-0.009124648962073987,0.013279928432830636
2'-Deoxyguanosine,0.008319364640857618,0.014570855827231086,0.027907958676007066,0.012404057041411884,0.014577302651225518,0.005595876571474217,0.009379784837410855,0.050039138820834314,-0.026310708092074614,0.019813603429695622
Pilocarpine,0.0321048414904321,0.013581542130235763,-0.03562312920054505,0.0019866080854554413,-0.020209295740958633,-0.019900528420514155,0.0016318573428488379,0.013563185748792917,-0.024915117263538636,-0.004438380029126421
1-Stearoylglycerol,-0.018308220867305307,0.02092441360344138,-0.00039000589071635675,-0.022717552900471612,0.01718818873370958,0.001970859762780176,0.022685396748598468,0.012294123846731776,0.03708538704961524,-0.0427393930184094
L-(-)-Methionine,-0.002163215890494579,0.004772982020765494,-0.0050200502065742125,0.0247120506415749,0.009671391269276037,-0.03598161253976381,0.014524345213745527,0.01627324970561467,-0.010458129900165522,0.007904447227010735
Acetanilide,-0.0004961670811294445,-0.03558917992692366,0.04917123022435571,-0.007679953467717599,0.020845976506571533,-0.016763912674816,0.0009122231954437285,-0.0014320222529824239,-0.003454183538867632,-0.0010755832097920613
8-Hydroxyquinoline,0.03755228560094527,-0.01251936855667301,0.00023263585554305887,-0.04160462602347916,-0.01497490070479648,0.011956232470861939,-0.0017118610019641477,-0.03930638435910726,0.01030269379193822,-0.0015928956614837794
Cotinine,0.003191485189230305,0.013160099348672773,-0.014724422423673783,0.007250338165603497,0.01468897302581545,-0.020988822000129196,0.02379594673898699,-0.03621162848281565,0.015022327115820598,-0.010452036514850457
N-Ethylglycine,-0.012665279068290396,0.003106474595812005,0.013988768231949547,0.018378832979358103,-0.011720136787963615,-0.023649706295707906,-0.031868586074229835,-0.02135771880822697,-0.008642120608259935,-0.0016895419423967812
Trifolin,0.008550523199306596,0.02207326735256556,-0.01997693414953534,0.02073231183660859,0.00933227847960017,0.016882181444236557,0.02972492229856312,-0.02957530465372125,0.0021738831553096607,-0.011383885759503899
L(-)-Carnitine,-0.0013890031528885124,0.026631917175404113,-0.017056309059074,0.014865596108729529,-0.010907647209577851,-0.009689687302877111,-0.008413122091414262,-0.01456957165716883,-0.0023122684038681964,-0.021206807171594982
"(3R)-8-hydroxy-3-(4-hydroxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one",0.029001022900382128,0.014903140562366695,-0.010398025065461648,0.019795054006455353,-0.014736493914038884,0.018402578612676232,-0.011154857902898394,-0.01326738251507627,0.0008353697421170045,-0.02719178572657666
Androstenedione,0.01899125951289961,-0.007870069779912845,0.006441034646625251,-0.001341541174650518,-0.0004472861306224245,-0.014835164584152478,-0.0011241872608543254,0.0009633003118697648,-0.025775276908910363,0.014025155543575477
4-Coumaric acid,0.004581863858742879,0.01633779343683284,0.03149434448307868,-0.024096506825649597,0.010642105634479556,0.005914606072247737,0.011822182226942403,-0.003630909974690878,0.010839419996733992,-0.011936320495604717
Nicotinamide adenine dinucleotide (NAD+),-0.010454366872972925,0.01568141302617631,-0.018563626233635853,-0.012702343201127703,-0.017489156330483698,0.019558162010859494,-0.034315919467011,-0.04445611968247851,-0.019587112670257277,0.031869357590184166
Ecgonine,0.04096773944513491,-0.02015941419602331,-0.015530947253965905,0.008882829789278268,-0.01506063035156186,0.01419178059207708,-0.006785306383669553,0.027482032840334243,0.007274422685712957,0.01594044020519353
