feature,importance,data_type,is_target
O-7460,0.012936439292491749,Metabolome,False
Cer-NS (d14:1/18:0),0.012473344546415983,Metabolome,False
13-OxoODE,0.00808552165181449,Metabolome,False
PC (18:3e/6:0),0.007960923225926675,Metabolome,False
Thromboxane B1,0.007943811071070285,Metabolome,False
"5-[(8Z,11Z)-pentadeca-8,11-dien-1-yl]benzene-1,3-diol",0.007059524980289637,Metabolome,False
ACar 16:5,0.007033540242284889,Metabolome,False
Milbemectin A4,0.006970793178240484,Metabolome,False
Ursodeoxycholic acid,0.006135116375506089,Metabolome,False
LysoPC 18:0,0.005686728820589885,Metabolome,False
L-Cystine,0.005644031933840023,Metabolome,False
"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",0.005346248822881719,Metabolome,False
Prostaglandin F1α,0.005276789373555574,Metabolome,False
N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide,0.005258990205912335,Metabolome,False
PC (18:0e/4:0),0.005116870383155305,Metabolome,False
LDGTS 18:1,0.004678707927697218,Metabolome,False
TPP,0.004631250961303921,Metabolome,False
Diosgenin,0.004367750437891656,Metabolome,False
FAHFA (4:0/20:0),0.00436441757960453,Metabolome,False
3-Acetyl-11-keto-β-boswellic acid,0.004325180932657304,Metabolome,False
Dodecanedioic acid,0.004252300040690454,Metabolome,False
PC (18:3e/2:0),0.00418755604634606,Metabolome,False
"5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one",0.004168574707668951,Metabolome,False
Corchorifatty acid F,0.0040838350766939265,Metabolome,False
HexCer-NS (d18:2/18:0),0.004078504626272331,Metabolome,False
13-HPODE,0.004042779458304977,Metabolome,False
FAHFA (2:0/26:0),0.003884372742121775,Metabolome,False
N-(4-butyl-2-methylphenyl)-N'-[4-(4-methylpiperazino)phenyl]urea,0.0038242933162392057,Metabolome,False
Heptadecanoic Acid,0.003754221553763873,Metabolome,False
WKK,0.0037355723018054985,Metabolome,False
LPC 22:1,0.003706688810355212,Metabolome,False
Theophylline,0.0036966261565498765,Metabolome,False
"15(R),19(R)-hydroxy Prostaglandin E1",0.003645160370207507,Metabolome,False
4-Hydroxy-3-methylbenzoic acid,0.003634246472286549,Metabolome,False
(±)12(13)-DiHOME,0.0036204911579979042,Metabolome,False
"2-(1,3-dimethyl-1H-pyrazol-5-yl)-1H-isoindole-1,3(2H)-dione",0.0036104422076682417,Metabolome,False
"2,3-Dinor-TXB2",0.003590057176819181,Metabolome,False
(+/-)13-HODE,0.0035706260861240293,Metabolome,False
3-(4-acetylanilino)-1-(4-fluorophenyl)prop-2-en-1-one,0.003446298124209487,Metabolome,False
Verrucarol,0.0034115831746618632,Metabolome,False
Caffeine,0.003384341973518419,Metabolome,False
"(2α,3β,19α)-2,3,19-Trihydroxyolean-12-en-28-oic acid",0.003371040213508561,Metabolome,False
Cannabidiolic acid,0.003364114223208549,Metabolome,False
"5,7-dihydroxy-3,8-dimethoxy-2-phenyl-4H-chromen-4-one",0.003362157739644312,Metabolome,False
SLH,0.003347969859595871,Metabolome,False
4'-Methoxy-α-ethylaminovalerophenone,0.003318786866567203,Metabolome,False
ENH,0.0033168672909532878,Metabolome,False
Bisphenol A,0.003246811657988609,Metabolome,False
15(R)-Lipoxin A4,0.003162349621030043,Metabolome,False
"6,7-Dihydroxycoumarin",0.0031450658079178314,Metabolome,False
AL 8810,0.003137803866372016,Metabolome,False
"5-Henicosyl-1,3-benzenediol",0.0031218879835341862,Metabolome,False
"2,6-Di-tert-butyl-1,4-benzoquinone",0.0031060208885415204,Metabolome,False
